cip6,field,category
110101,"Computer and information sciences, general",NSTEM
110102,Artificial intelligence and robotics,NSTEM
110103,Information technology,NSTEM
110104,Informatics,NSTEM
110199,"Computer science, other",NSTEM
110201,"Computer programming/programmer, general",NSTEM
110202,Computer programming special applications,NSTEM
110203,"Computer Programming, Vendor/Product Certification",NSTEM
110299,"Computer programming, other",NSTEM
110301,Data processing and data processing technology/technician,NSTEM
110401,Information science/studies,NSTEM
110501,Computer systems analysis/analyst,NSTEM
110701,Computer science,NSTEM
110801,"Web page, digital/multimedia, and information resources design",NSTEM
110802,Data modeling/warehousing and database administration,NSTEM
110803,Computer graphics,NSTEM
110804,"Modeling, virtual environments and simulation",NSTEM
110899,"Computer software and media applications, other",NSTEM
110901,Computer systems networking and telecommunications,NSTEM
111001,System administration/administrator,NSTEM
111002,"System, networking, and LAN/WAN management/manager",NSTEM
111003,Computer and information systems security,NSTEM
111004,Web/multimedia management and Webmaster,NSTEM
111005,Information technology project management,NSTEM
111006,Computer support specialist,NSTEM
111099,"Computer/information technology services administration and management, other",NSTEM
119999,"Computer and information sciences and support services, other",NSTEM
400401,"Atmospheric sciences and meteorology, general",NSTEM
400402,Atmospheric Chemistry and Climatology,NSTEM
400403,Atmospheric physics and dynamics,NSTEM
400404,Meteorology,NSTEM
400499,"Atmospheric sciences and meteorology, other",NSTEM
400601,"Geology/earth science, general",NSTEM
400602,Geochemistry,NSTEM
400603,Geophysics and seismology,NSTEM
400604,Paleontology,NSTEM
400606,Geochemistry and petrology,NSTEM
400699,"Geological and earth sciences/geosciences, other",NSTEM
261302,Marine biology and biological oceanography,NSTEM
303201,Marine sciences,NSTEM
400605,Hydrology and water resources science,NSTEM
400607,"Oceanography, chemical and physical",NSTEM
1,"Agriculture, general",NSTEM
10103,Agricultural economics,NSTEM
10308,Agroecology and sustainable agriculture,NSTEM
10505,Animal Training,NSTEM
10801,Agricultural and extension education services,NSTEM
10802,Agricultural communication/journalism,NSTEM
10899,"Agricultural public services, other",NSTEM
10901,"Animal sciences, general",NSTEM
10902,Agricultural animal breeding,NSTEM
10903,Animal health,NSTEM
10905,Dairy science,NSTEM
10906,Livestock management,NSTEM
10907,Poultry science,NSTEM
10999,"Animal sciences, other",NSTEM
11001,Food science,NSTEM
11002,Food technology and processing,NSTEM
11099,"Food science and technology, other",NSTEM
11101,"Plant sciences, general",NSTEM
11102,Agronomy and crop science,NSTEM
11103,Horticultural science,NSTEM
11104,Agricultural and horticultural plant breeding,NSTEM
11105,Plant protection and integrated pest management,NSTEM
11106,Range science and management,NSTEM
11199,"Plant sciences, other",NSTEM
11201,"Soil science and agronomy, general",NSTEM
11202,Soil chemistry and physics,NSTEM
11299,"Soil sciences, other",NSTEM
19999,"Agriculture, agriculture operations, and related sciences, other",NSTEM
30101,"Natural resources/conservation, general",NSTEM
30103,Environmental studies,NSTEM
30104,Environmental science,NSTEM
30199,"Natural resources conservation and research, other",NSTEM
30201,Natural resources management and policy,NSTEM
30204,Natural resource economics,NSTEM
30205,"Water, wetlands, and marine resources management",NSTEM
30206,Land use planning and management/development,NSTEM
30207,Natural resource recreation and tourism,NSTEM
30208,Natural resources law enforcement and protective services,NSTEM
30299,"Natural resources management and policy, other",NSTEM
30301,Fishing and fisheries sciences and management,NSTEM
30501,"Forestry, general",NSTEM
30502,Forest sciences and biology,NSTEM
